qald_id,sentence_en,pos-complex(H/M/E),noun-count,ner-complex(H/M/E),list_type(Y/N),count_type(Y/N)
1,List all boardgames by GMT.,medium,3,easy,Y,N
2,Who developed Skype?,easy,2,easy,N,N
3,Which people were born in Heraklion?,easy,2,easy,N,N
4,In which U.S. state is Area 51 located?,medium,3,easy,N,N
5,Who is the mayor of New York City?,hard,5,easy,N,N
6,Which countries have places with more than two caves?,medium,3,easy,N,N
7,Where did Abraham Lincoln die?,medium,3,easy,N,N
8,Which airports does Air China serve?,easy,2,easy,N,N
9,Give me all actors starring in movies directed by and starring William Shatner.,hard,4,easy,Y,N
10,What are the official languages of the Philippines?,medium,3,easy,N,N
11,Give me all Danish films.,easy,1,easy,Y,N
12,Which movies starring Brad Pitt were directed by Guy Ritchie?,hard,5,medium,N,N
13,Give me the grandchildren of Bruce Lee.,medium,3,easy,N,N
14,Which other weapons did the designer of the Uzi develop?,medium,3,easy,N,N
15,Who is the owner of Universal Studios?,hard,4,easy,N,N
16,Which state of the USA has the highest population density?,hard,4,easy,N,N
17,Which monarchs were married to a German?,easy,1,easy,N,N
18,Which organizations were founded in 1950?,easy,1,easy,N,N
19,Who created the comic Captain America?,medium,3,easy,N,N
20,Give me the Apollo 14 astronauts.,easy,2,easy,N,N
21,Who wrote the book The pillars of the Earth?,hard,4,easy,N,N
22,Which state of the United States of America has the highest density?,hard,5,medium,N,N
23,Which spaceflights were launched from Baikonur?,easy,2,easy,N,N
24,Give me a list of all trumpet players that were bandleaders.,hard,4,easy,Y,N
25,Which U.S. states are in the same timezone as Utah?,hard,5,easy,N,N
26,Which U.S. states possess gold minerals?,hard,4,easy,N,N
27,Who is the daughter of Ingrid Bergman married to?,hard,4,easy,N,N
28,How deep is Lake Placid?,easy,2,easy,N,N
29,Show me all museums in London.,easy,2,easy,N,N
30,Which caves have more than 3 entrances?,easy,2,easy,N,N
31,Who is the tallest player of the Atlanta Falcons?,hard,4,easy,N,N
32,What are the top-10 action role-playing video games according to IGN?,hard,5,easy,N,N
33,Give me all writers that won the Nobel Prize in literature.,hard,4,easy,Y,N
34,Show me all basketball players that are higher than 2 meters.,medium,3,easy,N,N
35,When was the Statue of Liberty built?,medium,3,easy,N,N
36,Which states border Illinois?,easy,2,easy,N,N
37,Who developed Minecraft?,easy,2,easy,N,N
38,Where did Hillel Slovak die?,medium,3,easy,N,N
39,What movies does Jesse Eisenberg play in?,hard,5,easy,N,N
40,Give all swimmers that were born in Moscow.,easy,2,easy,N,N
41,Give me all cosmonauts.,easy,1,easy,Y,N
42,Give me all Swiss non-profit organizations.,easy,1,easy,Y,N
43,Which presidents were born in 1945?,easy,1,easy,N,N
44,What kind of music did Lou Reed play?,hard,6,easy,N,N
45,Where do the Red Sox play?,medium,3,easy,N,N
46,Show a list of soccer clubs that play in the Bundesliga.,hard,4,easy,Y,N
47,Which volcanos in Japan erupted since 2000?,easy,2,easy,N,N
48,Which bridges cross the Seine?,easy,2,easy,N,N
49,What is the official color of the University of Oxford?,hard,4,easy,N,N
50,How many films did Hal Roach produce?,hard,4,easy,N,N
51,Give me all Danish movies.,easy,1,easy,Y,N
52,What is the most frequent cause of death?,medium,3,easy,N,N
53,Who are the four youngest MVP basketball players?,hard,4,easy,N,N
54,Give me all companies in Munich.,easy,2,easy,Y,N
55,Give me the capitals of all countries that the Himalayas run through.,hard,4,easy,N,N
56,How many movies did Park Chan-wook direct?,hard,4,easy,N,N
57,Which rivers flow into a German lake?,easy,1,easy,N,N
58,How many airlines are there?,easy,1,easy,N,N
59,Give me all islands that belong to Japan.,easy,2,easy,Y,N
60,How many inhabitants does Maribor have?,easy,2,easy,N,N
61,Give me all Apollo 14 astronauts.,easy,2,easy,Y,N
62,Which companies have more than 1 million employees?,easy,2,easy,N,N
63,In which films directed by Garry Marshall was Julia Roberts starring?,hard,6,medium,N,N
64,Give me all soccer clubs in the Premier League.,hard,4,easy,Y,N
65,What is the highest place of the Urals?,medium,3,easy,N,N
66,Who is the governor of Wyoming?,medium,3,easy,N,N
67,Where did the architect of the Eiffel Tower study?,hard,4,easy,N,N
68,Give me all world heritage sites designated within the past two years.,hard,4,easy,Y,N
69,Give me all actors who were born in Paris after 1950.,medium,3,easy,Y,N
70,Which movies star both Liz Taylor and Richard Burton?,hard,5,medium,N,N
71,Give me all Australian nonprofit organizations.,easy,1,easy,Y,N
72,Which pope succeeded John Paul II?,hard,5,easy,N,N
73,Give me all ESA astronauts.,easy,2,easy,Y,N
74,Who was president of Pakistan in 1978?,medium,3,easy,N,N
75,Who is the owner of Rolls-Royce?,medium,3,easy,N,N
76,How many museums does Paris have?,easy,2,easy,N,N
77,Where was JFK assassinated?,easy,1,easy,N,N
78,Give me all federal chancellors of Germany.,easy,2,easy,Y,N
79,Show me everyone who was born on Halloween.,medium,3,easy,N,N
80,Which beer originated in Ireland?,medium,3,easy,N,N
81,To which countries does the Himalayan mountain system extend?,hard,4,easy,N,N
82,Which actors were born in Germany?,easy,2,easy,N,N
83,How much carbs does peanut butter have?,easy,2,easy,N,N
84,Who produced the most films?,easy,2,easy,N,N
85,How many employees does Google have?,easy,2,easy,N,N
86,Give me all actors who were born in Berlin.,medium,3,easy,Y,N
87,Who created Goofy?,easy,2,easy,N,N
88,Which music albums contain the song Last Christmas?,hard,4,easy,N,N
89,When was Alberta admitted as province?,easy,2,easy,N,N
90,How many missions does the Soyuz programme have?,medium,3,easy,N,N
91,Give me all the TV shows with Neil Patrick Harris.,hard,4,easy,Y,N
92,When were the Hells Angels founded?,easy,2,easy,N,N
93,What is the net income of Apple?,medium,3,easy,N,N
94,Give me all Swedish holidays.,easy,1,easy,Y,N
95,In which city was the former Dutch queen Juliana buried?,hard,4,easy,N,N
96,List all the musicals with music by Leonard Bernstein.,hard,5,easy,Y,N
97,Give me all companies in the advertising industry.,medium,3,easy,Y,N
98,What is the largest metropolitan area in Washington state?,hard,4,easy,N,N
99,Who killed John Lennon?,medium,3,easy,N,N
100,Which writers studied in Istanbul?,easy,2,easy,N,N
101,Give me all Australian metalcore bands.,easy,2,easy,Y,N
102,Which countries adopted the Euro?,easy,2,easy,N,N
103,Give me all types of eating disorders.,easy,2,easy,Y,N
104,Was Marc Chagall a jew?,hard,4,easy,N,N
105,What was Brazil's lowest rank in the FIFA World Ranking?,hard,6,medium,N,N
106,How many films did Leonardo DiCaprio star in?,hard,4,easy,N,N
107,Was Margaret Thatcher a chemist?,hard,4,easy,N,N
108,Which U.S. states are in the same time zone as Utah?,hard,6,easy,N,N
109,Give me all books written by Danielle Steel.,medium,3,easy,Y,N
110,Which country has the most official languages?,easy,2,easy,N,N
111,What is the total amount of men and women serving in the FDNY?,hard,5,easy,N,N
112,Which actor played Chewbacca?,medium,3,easy,N,N
113,Give me all libraries established earlier than 1400.,easy,1,easy,Y,N
114,Which programming languages were influenced by Perl?,medium,3,easy,N,N
115,In which U.S. state is Mount McKinley located?,hard,4,easy,N,N
116,What airlines are part of the SkyTeam alliance?,hard,5,easy,N,N
117,Which ships were called after Benjamin Franklin?,medium,3,easy,N,N
118,Give me all Methodist politicians.,easy,2,easy,Y,N
119,What other books have been written by the author of The Fault in Our Stars?,hard,5,easy,N,N
120,What is the highest mountain?,easy,2,easy,N,N
121,Which poet wrote the most books?,easy,1,easy,N,N
122,Which programming languages influenced Javascript?,medium,3,easy,N,N
123,Which musician wrote the most books?,easy,1,easy,N,N
124,Which films starring Clint Eastwood did he direct himself?,medium,3,easy,N,N
125,Which software has been developed by organizations founded in California?,hard,4,easy,N,N
126,Which instruments does Cat Stevens play?,hard,4,easy,N,N
127,How many airlines are members of the Star Alliance?,hard,4,easy,N,N
128,Give me all actors called Baldwin.,easy,2,easy,Y,N
129,Who wrote The Hunger Games?,medium,3,easy,N,N
130,For which label did Elvis record his first album?,medium,3,easy,N,N
131,Is Christian Bale starring in Batman Begins?,hard,4,easy,N,N
132,Where is the residence of the prime minister of Spain?,medium,3,easy,N,N
133,Which actor was casted in the most movies?,medium,3,easy,N,N
134,Which countries have more than two official languages?,medium,3,easy,N,N
135,Which countries have more than ten caves?,easy,2,easy,N,N
136,Show me all songs from Bruce Springsteen released between 1980 and 1990.,medium,3,easy,N,N
137,Which television shows were created by John Cleese?,hard,4,easy,N,N
138,When did Latvia join the EU?,easy,2,easy,N,N
139,Which soccer players were born on Malta?,medium,3,easy,N,N
140,How many politicians graduated from Columbia University?,medium,3,easy,N,N
141,Give me the birthdays of all actors of the television show Charmed.,hard,5,easy,N,N
142,Which telecommunications organizations are located in Belgium?,medium,3,easy,N,N
143,Give me a list of all lakes in Denmark.,medium,3,easy,Y,N
144,How many children does Eddie Murphy have?,medium,3,easy,N,N
145,Show me all English Gothic buildings in Kent.,hard,4,easy,N,N
146,Who is the manager of Real Madrid?,hard,4,easy,N,N
147,In which countries can you pay using the West African CFA franc?,medium,3,easy,N,N
148,Which holidays are celebrated around the world?,medium,3,easy,N,N
149,What is the longest river?,easy,2,easy,N,N
150,Which organizations were founded in 1930?,easy,1,easy,N,N
151,What is the birth name of Angela Merkel?,hard,5,easy,N,N
152,Who has Tom Cruise been married to?,medium,3,easy,N,N
153,Which weapons did Heckler & Koch develop?,medium,3,easy,N,N
154,What is the smallest city by area in Germany?,hard,4,easy,N,N
155,What is the ruling party in Lisbon?,medium,3,easy,N,N
156,How heavy is Jupiter's lightest moon?,easy,2,easy,N,N
157,How many employees does IBM have?,easy,2,easy,N,N
158,List all episodes of the first season of the HBO television series The Sopranos!,hard,7,easy,Y,N
159,What does ICRO stand for?,easy,2,easy,N,N
160,Does the new Battlestar Galactica series have more episodes than the old one?,hard,4,easy,N,N
161,Give me all films produced by Hal Roach.,medium,3,easy,Y,N
162,Who played Agent Smith in Matrix?,hard,4,easy,N,N
163,Which Greek parties are pro-European?,easy,2,easy,N,N
164,Give me a list of all bandleaders that play trumpet.,medium,3,easy,Y,N
165,What is the second highest mountain on Earth?,medium,3,easy,N,N
166,Is Egypts largest city also its capital?,medium,3,easy,N,N
167,Which rockets were launched from Baikonur?,easy,2,easy,N,N
168,How many programming languages are there?,easy,2,easy,N,N
169,Which Chess players died in the same place they were born in?,medium,3,easy,N,N
170,Who is the owner of Facebook?,medium,3,easy,N,N
171,Give me all movies with Tom Cruise.,medium,3,easy,Y,N
172,In which U.S. state is Fort Knox located?,hard,4,easy,N,N
173,Give me all cities in New Jersey with more than 100000 inhabitants.,hard,4,easy,Y,N
174,Which mountains are higher than the Nanga Parbat?,medium,3,easy,N,N
175,Give me all B-sides of the Ramones.,easy,2,easy,Y,N
176,What are the specialities of the UNC Health Care?,hard,5,easy,N,N
177,When was Olof Palme shot?,medium,3,easy,N,N
178,List the seven kings of Rome.,easy,2,easy,Y,N
179,Give me all people that were born in Vienna and died in Berlin.,medium,3,easy,Y,N
180,Is Darth Vader Luke’s father?,hard,4,easy,N,N
181,Show me all the breweries in Australia.,easy,2,easy,N,N
182,Give me all films produced by Steven Spielberg with a budget of at least $80 million.,hard,4,easy,Y,N
