qald_id,sentence_en,pos-tags,noun_count,pos-complex(H/M/E),ner-tags,entity_count,ner-complex(H/M/E),list_type(Y/N),count_type(Y/N),entity-count,sentence_entities_grayed
1,List all boardgames by GMT.,"[('List', 'NN'), ('all', 'DT'), ('boardgames', 'NNS'), ('by', 'IN'), ('GMT', 'NNP'), ('.', '.')]",3,medium,"[('List', 'O'), ('all', 'O'), ('boardgames', 'O'), ('by', 'O'), ('GMT', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,List all boardgames by GMT .
2,Who developed Skype?,"[('Who', 'WP'), ('developed', 'VBD'), ('Skype', 'NNP'), ('?', '.')]",2,easy,"[('Who', 'O'), ('developed', 'O'), ('Skype', 'ORGANIZATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Who developed $Skype$ ?
3,Which people were born in Heraklion?,"[('Which', 'JJ'), ('people', 'NNS'), ('were', 'VBD'), ('born', 'VBN'), ('in', 'IN'), ('Heraklion', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('people', 'O'), ('were', 'O'), ('born', 'O'), ('in', 'O'), ('Heraklion', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Which people were born in $Heraklion$ ?
4,In which U.S. state is Area 51 located?,"[('In', 'IN'), ('which', 'WDT'), ('U.S.', 'NNP'), ('state', 'NN'), ('is', 'VBZ'), ('Area', 'NNP'), ('51', 'CD'), ('located', 'VBN'), ('?', '.')]",3,medium,"[('In', 'O'), ('which', 'O'), ('U.S.', 'LOCATION'), ('state', 'O'), ('is', 'O'), ('Area', 'O'), ('51', 'O'), ('located', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,In which $U.S.$ state is Area 51 located ?
5,Who is the mayor of New York City?,"[('Who', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('mayor', 'NN'), ('of', 'IN'), ('New', 'NNP'), ('York', 'NNP'), ('City', 'NNP'), ('?', '.')]",5,hard,"[('Who', 'O'), ('is', 'O'), ('the', 'O'), ('mayor', 'O'), ('of', 'O'), ('New', 'LOCATION'), ('York', 'LOCATION'), ('City', 'LOCATION'), ('?', 'O')]",tbd,medium,N,N,3.0,Who is the mayor of $New$ $York$ $City$ ?
6,Which countries have places with more than two caves?,"[('Which', 'JJ'), ('countries', 'NNS'), ('have', 'VBP'), ('places', 'NNS'), ('with', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('two', 'CD'), ('caves', 'NNS'), ('?', '.')]",3,medium,"[('Which', 'O'), ('countries', 'O'), ('have', 'O'), ('places', 'O'), ('with', 'O'), ('more', 'O'), ('than', 'O'), ('two', 'O'), ('caves', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which countries have places with more than two caves ?
7,Where did Abraham Lincoln die?,"[('Where', 'WRB'), ('did', 'VBD'), ('Abraham', 'NNP'), ('Lincoln', 'NNP'), ('die', 'NN'), ('?', '.')]",3,medium,"[('Where', 'O'), ('did', 'O'), ('Abraham', 'PERSON'), ('Lincoln', 'PERSON'), ('die', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Where did $Abraham$ $Lincoln$ die ?
8,Which airports does Air China serve?,"[('Which', 'JJ'), ('airports', 'VBZ'), ('does', 'VBZ'), ('Air', 'NNP'), ('China', 'NNP'), ('serve', 'VB'), ('?', '.')]",2,easy,"[('Which', 'O'), ('airports', 'O'), ('does', 'O'), ('Air', 'LOCATION'), ('China', 'LOCATION'), ('serve', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Which airports does $Air$ $China$ serve ?
9,Give me all actors starring in movies directed by and starring William Shatner.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('actors', 'NNS'), ('starring', 'VBG'), ('in', 'IN'), ('movies', 'NNS'), ('directed', 'VBN'), ('by', 'IN'), ('and', 'CC'), ('starring', 'VBG'), ('William', 'NNP'), ('Shatner', 'NNP'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('actors', 'O'), ('starring', 'O'), ('in', 'O'), ('movies', 'O'), ('directed', 'O'), ('by', 'O'), ('and', 'O'), ('starring', 'O'), ('William', 'PERSON'), ('Shatner', 'PERSON'), ('.', 'O')]",tbd,medium,Y,N,2.0,Give me all actors starring in movies directed by and starring $William$ $Shatner$ .
10,What are the official languages of the Philippines?,"[('What', 'WP'), ('are', 'VBP'), ('the', 'DT'), ('official', 'JJ'), ('languages', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('Philippines', 'NNPS'), ('?', '.')]",3,medium,"[('What', 'O'), ('are', 'O'), ('the', 'O'), ('official', 'O'), ('languages', 'O'), ('of', 'O'), ('the', 'O'), ('Philippines', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,What are the official languages of the $Philippines$ ?
11,Give me all Danish films.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Danish', 'JJ'), ('films', 'NNS'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Danish', 'O'), ('films', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Danish films .
12,Which movies starring Brad Pitt were directed by Guy Ritchie?,"[('Which', 'JJ'), ('movies', 'NNS'), ('starring', 'VBG'), ('Brad', 'NNP'), ('Pitt', 'NNP'), ('were', 'VBD'), ('directed', 'VBN'), ('by', 'IN'), ('Guy', 'NNP'), ('Ritchie', 'NNP'), ('?', '.')]",5,hard,"[('Which', 'O'), ('movies', 'O'), ('starring', 'O'), ('Brad', 'PERSON'), ('Pitt', 'PERSON'), ('were', 'O'), ('directed', 'O'), ('by', 'O'), ('Guy', 'PERSON'), ('Ritchie', 'PERSON'), ('?', 'O')]",tbd,hard,N,N,4.0,Which movies starring $Brad$ $Pitt$ were directed by $Guy$ $Ritchie$ ?
13,Give me the grandchildren of Bruce Lee.,"[('Give', 'VB'), ('me', 'PRP'), ('the', 'DT'), ('grandchildren', 'NN'), ('of', 'IN'), ('Bruce', 'NNP'), ('Lee', 'NNP'), ('.', '.')]",3,medium,"[('Give', 'O'), ('me', 'O'), ('the', 'O'), ('grandchildren', 'O'), ('of', 'O'), ('Bruce', 'PERSON'), ('Lee', 'PERSON'), ('.', 'O')]",tbd,medium,N,N,2.0,Give me the grandchildren of $Bruce$ $Lee$ .
14,Which other weapons did the designer of the Uzi develop?,"[('Which', 'IN'), ('other', 'JJ'), ('weapons', 'NNS'), ('did', 'VBD'), ('the', 'DT'), ('designer', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Uzi', 'NNP'), ('develop', 'VB'), ('?', '.')]",3,medium,"[('Which', 'O'), ('other', 'O'), ('weapons', 'O'), ('did', 'O'), ('the', 'O'), ('designer', 'O'), ('of', 'O'), ('the', 'O'), ('Uzi', 'PERSON'), ('develop', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,Which other weapons did the designer of the $Uzi$ develop ?
15,Who is the owner of Universal Studios?,"[('Who', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('owner', 'NN'), ('of', 'IN'), ('Universal', 'NNP'), ('Studios', 'NNP'), ('?', '.')]",4,medium,"[('Who', 'O'), ('is', 'O'), ('the', 'O'), ('owner', 'O'), ('of', 'O'), ('Universal', 'ORGANIZATION'), ('Studios', 'ORGANIZATION'), ('?', 'O')]",tbd,medium,N,N,2.0,Who is the owner of $Universal$ $Studios$ ?
16,Which state of the USA has the highest population density?,"[('Which', 'JJ'), ('state', 'NN'), ('of', 'IN'), ('the', 'DT'), ('USA', 'NNP'), ('has', 'VBZ'), ('the', 'DT'), ('highest', 'JJS'), ('population', 'NN'), ('density', 'NN'), ('?', '.')]",4,medium,"[('Which', 'O'), ('state', 'O'), ('of', 'O'), ('the', 'O'), ('USA', 'LOCATION'), ('has', 'O'), ('the', 'O'), ('highest', 'O'), ('population', 'O'), ('density', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,Which state of the $USA$ has the highest population density ?
17,Which monarchs were married to a German?,"[('Which', 'WDT'), ('monarchs', 'NN'), ('were', 'VBD'), ('married', 'VBN'), ('to', 'TO'), ('a', 'DT'), ('German', 'JJ'), ('?', '.')]",1,easy,"[('Which', 'O'), ('monarchs', 'O'), ('were', 'O'), ('married', 'O'), ('to', 'O'), ('a', 'O'), ('German', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which monarchs were married to a German ?
18,Which organizations were founded in 1950?,"[('Which', 'JJ'), ('organizations', 'NNS'), ('were', 'VBD'), ('founded', 'VBN'), ('in', 'IN'), ('1950', 'CD'), ('?', '.')]",1,easy,"[('Which', 'O'), ('organizations', 'O'), ('were', 'O'), ('founded', 'O'), ('in', 'O'), ('1950', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which organizations were founded in 1950 ?
19,Who created the comic Captain America?,"[('Who', 'WP'), ('created', 'VBD'), ('the', 'DT'), ('comic', 'JJ'), ('Captain', 'NNP'), ('America', 'NNP'), ('?', '.')]",3,medium,"[('Who', 'O'), ('created', 'O'), ('the', 'O'), ('comic', 'O'), ('Captain', 'O'), ('America', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Who created the comic Captain $America$ ?
20,Give me the Apollo 14 astronauts.,"[('Give', 'VB'), ('me', 'PRP'), ('the', 'DT'), ('Apollo', 'NNP'), ('14', 'CD'), ('astronauts', 'NNS'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('the', 'O'), ('Apollo', 'O'), ('14', 'O'), ('astronauts', 'O'), ('.', 'O')]",tbd,easy,N,N,0.0,Give me the Apollo 14 astronauts .
21,Who wrote the book The pillars of the Earth?,"[('Who', 'WP'), ('wrote', 'VBD'), ('the', 'DT'), ('book', 'NN'), ('The', 'DT'), ('pillars', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('Earth', 'NNP'), ('?', '.')]",4,medium,"[('Who', 'O'), ('wrote', 'O'), ('the', 'O'), ('book', 'O'), ('The', 'O'), ('pillars', 'O'), ('of', 'O'), ('the', 'O'), ('Earth', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Who wrote the book The pillars of the $Earth$ ?
22,Which state of the United States of America has the highest density?,"[('Which', 'JJ'), ('state', 'NN'), ('of', 'IN'), ('the', 'DT'), ('United', 'NNP'), ('States', 'NNPS'), ('of', 'IN'), ('America', 'NNP'), ('has', 'VBZ'), ('the', 'DT'), ('highest', 'JJS'), ('density', 'NN'), ('?', '.')]",5,hard,"[('Which', 'O'), ('state', 'O'), ('of', 'O'), ('the', 'O'), ('United', 'LOCATION'), ('States', 'LOCATION'), ('of', 'LOCATION'), ('America', 'LOCATION'), ('has', 'O'), ('the', 'O'), ('highest', 'O'), ('density', 'O'), ('?', 'O')]",tbd,hard,N,N,4.0,Which state of the $United$ $States$ $of$ $America$ has the highest density ?
23,Which spaceflights were launched from Baikonur?,"[('Which', 'JJ'), ('spaceflights', 'NNS'), ('were', 'VBD'), ('launched', 'VBN'), ('from', 'IN'), ('Baikonur', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('spaceflights', 'O'), ('were', 'O'), ('launched', 'O'), ('from', 'O'), ('Baikonur', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which spaceflights were launched from Baikonur ?
24,Give me a list of all trumpet players that were bandleaders.,"[('Give', 'VB'), ('me', 'PRP'), ('a', 'DT'), ('list', 'NN'), ('of', 'IN'), ('all', 'DT'), ('trumpet', 'NN'), ('players', 'NNS'), ('that', 'WDT'), ('were', 'VBD'), ('bandleaders', 'NNS'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('a', 'O'), ('list', 'O'), ('of', 'O'), ('all', 'O'), ('trumpet', 'O'), ('players', 'O'), ('that', 'O'), ('were', 'O'), ('bandleaders', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me a list of all trumpet players that were bandleaders .
25,Which U.S. states are in the same timezone as Utah?,"[('Which', 'NNP'), ('U.S.', 'NNP'), ('states', 'NNS'), ('are', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('timezone', 'NN'), ('as', 'IN'), ('Utah', 'NNP'), ('?', '.')]",5,hard,"[('Which', 'O'), ('U.S.', 'LOCATION'), ('states', 'O'), ('are', 'O'), ('in', 'O'), ('the', 'O'), ('same', 'O'), ('timezone', 'O'), ('as', 'O'), ('Utah', 'LOCATION'), ('?', 'O')]",tbd,medium,N,N,2.0,Which $U.S.$ states are in the same timezone as $Utah$ ?
26,Which U.S. states possess gold minerals?,"[('Which', 'NNP'), ('U.S.', 'NNP'), ('states', 'VBZ'), ('possess', 'JJ'), ('gold', 'NN'), ('minerals', 'NNS'), ('?', '.')]",4,medium,"[('Which', 'O'), ('U.S.', 'LOCATION'), ('states', 'O'), ('possess', 'O'), ('gold', 'O'), ('minerals', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,Which $U.S.$ states possess gold minerals ?
27,Who is the daughter of Ingrid Bergman married to?,"[('Who', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('daughter', 'NN'), ('of', 'IN'), ('Ingrid', 'NNP'), ('Bergman', 'NNP'), ('married', 'VBD'), ('to', 'TO'), ('?', '.')]",4,medium,"[('Who', 'O'), ('is', 'O'), ('the', 'O'), ('daughter', 'O'), ('of', 'O'), ('Ingrid', 'PERSON'), ('Bergman', 'PERSON'), ('married', 'O'), ('to', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Who is the daughter of $Ingrid$ $Bergman$ married to ?
28,How deep is Lake Placid?,"[('How', 'WRB'), ('deep', 'JJ'), ('is', 'VBZ'), ('Lake', 'NNP'), ('Placid', 'NNP'), ('?', '.')]",2,easy,"[('How', 'O'), ('deep', 'O'), ('is', 'O'), ('Lake', 'LOCATION'), ('Placid', 'LOCATION'), ('?', 'O')]",tbd,medium,N,N,2.0,How deep is $Lake$ $Placid$ ?
29,Show me all museums in London.,"[('Show', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('museums', 'NNS'), ('in', 'IN'), ('London', 'NNP'), ('.', '.')]",2,easy,"[('Show', 'O'), ('me', 'O'), ('all', 'O'), ('museums', 'O'), ('in', 'O'), ('London', 'LOCATION'), ('.', 'O')]",tbd,easy,N,N,1.0,Show me all museums in $London$ .
30,Which caves have more than 3 entrances?,"[('Which', 'WDT'), ('caves', 'NNS'), ('have', 'VBP'), ('more', 'JJR'), ('than', 'IN'), ('3', 'CD'), ('entrances', 'NNS'), ('?', '.')]",2,easy,"[('Which', 'O'), ('caves', 'O'), ('have', 'O'), ('more', 'O'), ('than', 'O'), ('3', 'O'), ('entrances', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which caves have more than 3 entrances ?
31,Who is the tallest player of the Atlanta Falcons?,"[('Who', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('tallest', 'JJS'), ('player', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Atlanta', 'NNP'), ('Falcons', 'NNP'), ('?', '.')]",4,medium,"[('Who', 'O'), ('is', 'O'), ('the', 'O'), ('tallest', 'O'), ('player', 'O'), ('of', 'O'), ('the', 'O'), ('Atlanta', 'ORGANIZATION'), ('Falcons', 'ORGANIZATION'), ('?', 'O')]",tbd,medium,N,N,2.0,Who is the tallest player of the $Atlanta$ $Falcons$ ?
32,What are the top-10 action role-playing video games according to IGN?,"[('What', 'WP'), ('are', 'VBP'), ('the', 'DT'), ('top-10', 'JJ'), ('action', 'NN'), ('role-playing', 'JJ'), ('video', 'NN'), ('games', 'NNS'), ('according', 'VBG'), ('to', 'TO'), ('IGN', 'NNP'), ('?', '.')]",5,hard,"[('What', 'O'), ('are', 'O'), ('the', 'O'), ('top-10', 'O'), ('action', 'O'), ('role-playing', 'O'), ('video', 'O'), ('games', 'O'), ('according', 'O'), ('to', 'O'), ('IGN', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,What are the top-10 action role-playing video games according to IGN ?
33,Give me all writers that won the Nobel Prize in literature.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('writers', 'NNS'), ('that', 'WDT'), ('won', 'VBD'), ('the', 'DT'), ('Nobel', 'NNP'), ('Prize', 'NNP'), ('in', 'IN'), ('literature', 'NN'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('writers', 'O'), ('that', 'O'), ('won', 'O'), ('the', 'O'), ('Nobel', 'O'), ('Prize', 'O'), ('in', 'O'), ('literature', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all writers that won the Nobel Prize in literature .
34,Show me all basketball players that are higher than 2 meters.,"[('Show', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('basketball', 'NN'), ('players', 'NNS'), ('that', 'WDT'), ('are', 'VBP'), ('higher', 'JJR'), ('than', 'IN'), ('2', 'CD'), ('meters', 'NNS'), ('.', '.')]",3,medium,"[('Show', 'O'), ('me', 'O'), ('all', 'O'), ('basketball', 'O'), ('players', 'O'), ('that', 'O'), ('are', 'O'), ('higher', 'O'), ('than', 'O'), ('2', 'O'), ('meters', 'O'), ('.', 'O')]",tbd,easy,N,N,0.0,Show me all basketball players that are higher than 2 meters .
35,When was the Statue of Liberty built?,"[('When', 'WRB'), ('was', 'VBD'), ('the', 'DT'), ('Statue', 'NNP'), ('of', 'IN'), ('Liberty', 'NNP'), ('built', 'NN'), ('?', '.')]",3,medium,"[('When', 'O'), ('was', 'O'), ('the', 'O'), ('Statue', 'O'), ('of', 'O'), ('Liberty', 'O'), ('built', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,When was the Statue of Liberty built ?
36,Which states border Illinois?,"[('Which', 'WDT'), ('states', 'VBZ'), ('border', 'NN'), ('Illinois', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('states', 'O'), ('border', 'O'), ('Illinois', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Which states border $Illinois$ ?
