qald_version,split,question_id,sentence_en
qald-5,test,1,Give me all ESA astronauts.
qald-5,test,2,Give me all Swedish holidays.
qald-5,test,3,Who is the youngest Pulitzer Prize winner?
qald-5,test,4,Which animals are critically endangered?
qald-5,test,5,Which soccer players were born on Malta?
qald-5,test,6,Did Arnold Schwarzenegger attend a university?
qald-5,test,7,Which programming languages were influenced by Perl?
qald-5,test,8,Is Barack Obama a democrat?
qald-5,test,9,How many children does Eddie Murphy have?
qald-5,test,10,Who is the oldest child of Meryl Streep?
qald-5,test,11,Who killed John Lennon?
qald-5,test,13,Which frequent flyer program has the most airlines?
qald-5,test,12,In which city is Air China headquartered?
qald-5,test,14,Which artists were born on the same date as Rachel Stevens?
qald-5,test,15,How many scientists graduated from an Ivy League university?
qald-5,test,16,Which types of grapes grow in Oregon?
qald-5,test,17,Who is starring in Spanish movies produced by Benicio del Toro?
qald-5,test,18,Who is the manager of Real Madrid?
qald-5,test,19,Give me the currency of China.
qald-5,test,20,Which movies starring Brad Pitt were directed by Guy Ritchie?
qald-5,test,22,How many companies were founded by the founder of Facebook?
qald-5,test,23,How many companies were founded in the same year as Google?
qald-5,test,24,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?
qald-5,test,25,How many airlines are members of the Star Alliance?
qald-5,test,26,Give me all spacecrafts that flew to Mars.
qald-5,test,27,Which musician wrote the most books?
qald-5,test,28,Show me everyone who was born on Halloween.
qald-5,test,29,Give me all Swiss non-profit organizations.
qald-5,test,30,In which country is Mecca located?
qald-5,test,31,What is the net income of Apple?
qald-5,test,32,What does the abbreviation FIFA stand for?
qald-5,test,33,When did the Ming dynasty dissolve?
qald-5,test,34,Which museum in New York has the most visitors?
qald-5,test,35,Is Lake Baikal bigger than the Great Bear Lake?
qald-5,test,36,Desserts from which country contain fish?
qald-5,test,37,What is the highest mountain in Italy?
qald-5,test,38,Where did the architect of the Eiffel Tower study?
qald-5,test,39,Which Greek parties are pro-European?
qald-5,test,40,What is the height difference between Mount Everest and K2?
qald-5,test,41,Who is the mayor of Rotterdam?
qald-5,test,42,In which city were the parents of Che Guevara born?
qald-5,test,43,How high is the Yokohama Marine Tower?
qald-5,test,44,Are Taiko a kind of Japanese musical instruments?
qald-5,test,45,How many ethnic groups live in Slovenia?
qald-5,test,46,List the seven kings of Rome.
qald-5,test,47,Who were the parents of Queen Victoria?
qald-5,test,48,Who is the heaviest player of the Chicago Bulls?
qald-5,test,49,Which volcanos in Japan erupted since 2000?
qald-5,test,50,Who is the tallest basketball player?
qald-5,test,51,"Where was the ""Father of Singapore"" born?"
qald-5,test,52,Which Secretary of State was significantly involved in the United States' dominance of the Caribbean?
qald-5,test,53,Who is the architect of the tallest building in Japan?
qald-5,test,54,What is the name of the Viennese newspaper founded by the creator of the croissant?
qald-5,test,55,In which city where Charlie Chaplin's half brothers born?
qald-5,test,56,Which German mathematicians were members of the von Braun rocket group?
qald-5,test,57,Which writers converted to Islam?
qald-5,test,58,Are there man-made lakes in Australia that are deeper than 100 meters?
qald-5,test,59,Which movie by the Coen brothers stars John Turturro in the role of a New York City playwright?
qald-5,test,60,Which of the volcanoes that erupted in 1550 is still active?
qald-6,train,1,Give me all cosmonauts.
qald-6,train,10,In which country does the Ganges start?
