ID	Original Question	ori_ans_uri	ori_ans_label	correct	Paraphrasing 1	pp1_ans_uri	pp1_ans_label	pp1_ori_match	Paraphrasing 2	pp2_ans_uri	pp2_ans_label	pp2_ori_match	SPARQL Query
Q55	What does IYCM stand for ?	http://www.wikidata.org/entity/Q17604617		0	Expand IYCM ?	http://www.wikidata.org/entity/Q4038444	expand	0	What is the full form of IYCM? 	http://www.wikidata.org/entity/Q8054	protein	0	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:abbreviation \""IYCM\"" }"
Q6	Which movies star both Liz Taylor and Richard Burton ?	http://www.wikidata.org/entity/Q1198059	The Taming of the Shrew	1	Give the movies which features both  Liz Taylor and Richard Burton ?	http://www.wikidata.org/entity/Q1198059	The Taming of the Shrew	1	Give me movies acted by both Liz Taylor and Richard Burton .	http://www.wikidata.org/entity/Q1198059	The Taming of the Shrew	1	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Elizabeth_Taylor> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Burton> }
Q81	Give me English actors starring in Lovesick .	http://www.wikidata.org/entity/Q2870460	Wynken, Blynken, and Nod	0	Which English actors starred in Lovesick .	http://www.wikidata.org/entity/Q2870460	Wynken, Blynken, and Nod	1	Tell me English are actors featuring in Lovesick .	http://www.wikidata.org/entity/Q1233197	oblique case	0	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lovesick_(1983_film)> dbo:starring ?uri . ?uri dbo:birthPlace ?city . ?city dbo:country <http://dbpedia.org/resource/United_Kingdom> }
Q48	In which country is the Limerick Lake ?			returned no answer	Where is Limerick Lake found?			returned no answer	Where does  Limerick Lake  situated?	http://www.wikidata.org/entity/Q604502	Lough Gur	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Limerick_Lake dbo:country ?uri }
Q92	When was Jack Wolfskin founded ?			returned no answer	In which year was Jack Wolfskin founded?			returned no answer	What is the founding year of Jack Wolfskin ?			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT xsd:date(?year) WHERE { res:Jack_Wolfskin dbo:foundingYear ?year }
Q49	In which time zone is Rome ?	http://www.wikidata.org/entity/Q25989	Central European Time	1	What is Rome's time zone?	http://www.wikidata.org/entity/Q1158213	Damaraland	0	Specify the time zone of Rome	http://www.wikidata.org/entity/Q6655	UTC+01:00	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rome dbo:timeZone ?uri }
Q12	Give me all actors called Baldwin .			returned no answer	Which are all actors known as Baldwin .			returned no answer	Who are the actors called Baldwin ?			returned no answer	SELECT DISTINCT ?uri WHERE { ?uri foaf:surname 'Baldwin'@en . { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Actor> . } UNION { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . } }
Q40	How many people live in the capital of Australia ?			returned no answer	what is the population of Australia capital ?			returned no answer	What is the population of capital of Australia ?			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num }
Q39	Who was the wife of U.S. president Lincoln ?	http://www.wikidata.org/entity/Q432473	Melania Trump	0	What is the name of the wife of U.S. president Lincoln ?	http://www.wikidata.org/entity/Q432473	Melania Trump	1	Who was the first lady when U.S. presiden wast Lincoln ?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri }
Q33	What is the biggest stadium in Spain ?	http://www.wikidata.org/entity/Q10277460	estadio Tajonar	0	What is the name of the biggest stadium in Spain ?			0	Name the biggest stadium in Spain ?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Stadium ; dbo:location res:Spain ; dbo:seatingCapacity ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1
